"Greenest option","Greenest option"
"Delivered","Delivered"
"today between ","today between "
"tomorrow between ","tomorrow between "
" and "," and "
"on ","on "
"by ","by "
"by ordering within ","by ordering within "
"Your order may arrive in multiple parcels","Your order may arrive in multiple parcels"
"Home delivery to","Home delivery to "
